BasePanel,CoolingWings,,,From Tue Jun 28 10:54:41 2022 to Tue Jun 28 11:14:40 2022
38.25,36.5,,,
38,35,,,
38,35.5,,,
37.25,34.75,,,
38.25,36,,,
37.75,36,,,
38.25,35.5,,,
37.75,35.25,,,
38.25,35.75,,,
38.5,36.25,,,
38.5,36.75,,,
39,38.5,,,
40.25,41,,,
42,45.25,,,
43.25,46.75,,,
44,47.75,,,
45,48,,,
46.25,50.75,,,
47.5,53,,,
48.5,54.25,,,
49,55.25,,,
49.5,54,,,
50.25,54,,,
51.5,54.5,,,
52.25,54.25,,,
52.5,52.5,,,
53,54,,,
53.75,54.75,,,
53.75,54.75,,,
54.75,54.25,,,
55.5,55.25,,,
54.75,53.25,,,
54.75,49.75,,,
56.25,51.75,,,
56.25,53.25,,,
56.5,52.25,,,
57,52,,,
57.25,53,,,
56.75,50.5,,,
57,49.75,,,
56.75,49.75,,,
55.25,46.75,,,
55.25,45.75,,,
56.25,46.5,,,
56.5,47.5,,,
56.75,47,,,
56.5,45.5,,,
57,47.5,,,
57.25,50,,,
58.25,52,,,
59.25,54,,,
60,52.5,,,
58.75,51.5,,,
56.75,48,,,
56.5,47,,,
56.75,48.5,,,
57.5,52.25,,,
58.5,54,,,
60.25,56,,,
60.75,57.5,,,
